- Starting CustomerProcessingApplication on MCKD-TRNG60-46 with PID 7744 (D:\customer\Customer-Data-Processing-and-report-generator-java-config-\target\classes started by comviva in D:\customer\Customer-Data-Processing-and-report-generator-java-config-)
- No active profile set, falling back to default profiles: default
- Started CustomerProcessingApplication in 6.616 seconds (JVM running for 8.085)
- Customer with phone number 72 ------->Registration Status : Failed.
- Customer with phone number 73 ------->Registration Status : Failed.
- Customer with phone number 74 ------->Registration Status : Failed.
- Customer with phone number 75 ------->Registration Status : Failed.
- Customer with phone number 76 ------->Registration Status : Failed.
- Customer with phone number 77 ------->Registration Status : Failed.
- Customer with phone number 78 ------->Registration Status : Failed.
- Customer with phone number 79 ------->Registration Status : Failed.
- Customer with phone number 80 ------->Registration Status : Failed.
- Customer with phone number 81 ------->Registration Status : Failed.
- Customer with phone number 82 ------->Registration Status : Failed.
- Customer with phone number 83 ------->Registration Status : Failed.
- Customer with phone number 84 ------->Registration Status : Failed.
- Customer with phone number 85 ------->Registration Status : Failed.
- Customer with phone number 86 ------->Registration Status : Failed.
- Customer with phone number 87 ------->Registration Status : Failed.
- Customer with phone number 88 ------->Registration Status : Failed.
- Customer with phone number 89 ------->Registration Status : Failed.
- Customer with phone number 90 ------->Registration Status : Failed.
- Customer with phone number 91 ------->Registration Status : Failed.
- Customer with phone number 92 ------->Registration Status : Failed.
- Customer with phone number 93 ------->Registration Status : Failed.
- Customer with phone number 94 ------->Registration Status : Failed.
- Customer with phone number 95 ------->Registration Status : Failed.
- Customer with phone number 96 ------->Registration Status : Failed.
- Customer with phone number 97 ------->Registration Status : Failed.
- Customer with phone number 98 ------->Registration Status : Failed.
- Customer with phone number 99 ------->Registration Status : Failed.
- Customer with phone number 100 ------->Registration Status : Failed.
- Customer with phone number 101 ------->Registration Status : Failed.
- Customer with phone number 102 ------->Registration Status : Failed.
- Customer with phone number 103 ------->Registration Status : Failed.
- Customer with phone number 104 ------->Registration Status : Failed.
- Customer with phone number 105 ------->Registration Status : Failed.
- Customer with phone number 106 ------->Registration Status : Failed.
- Customer with phone number 107 ------->Registration Status : Failed.
- Customer with phone number 108 ------->Registration Status : Failed.
- Customer with phone number 109 ------->Registration Status : Failed.
- Customer with phone number 110 ------->Registration Status : Failed.
- Customer with phone number 111 ------->Registration Status : Failed.
- Customer with phone number 112 ------->Registration Status : Failed.
- Customer with phone number 113 ------->Registration Status : Failed.
- Customer with phone number 114 ------->Registration Status : Failed.
- Customer with phone number 115 ------->Registration Status : Failed.
- Customer with phone number 116 ------->Registration Status : Failed.
- Customer with phone number 117 ------->Registration Status : Failed.
- Customer with phone number 118 ------->Registration Status : Failed.
- Customer with phone number 119 ------->Registration Status : Failed.
- Customer with phone number 120 ------->Registration Status : Failed.
- Customer with phone number 121 ------->Registration Status : Failed.
- Customer with phone number 122 ------->Registration Status : Failed.
- Customer with phone number 123 ------->Registration Status : Failed.
- Customer with phone number 124 ------->Registration Status : Failed.
- Customer with phone number 125 ------->Registration Status : Failed.
- Customer with phone number 126 ------->Registration Status : Failed.
- Customer with phone number 127 ------->Registration Status : Failed.
- Customer with phone number 128 ------->Registration Status : Failed.
- Customer with phone number 129 ------->Registration Status : Failed.
- Customer with phone number 130 ------->Registration Status : Failed.
- Customer with phone number 131 ------->Registration Status : Failed.
- Customer with phone number 132 ------->Registration Status : Failed.
- Customer with phone number 133 ------->Registration Status : Failed.
- Customer with phone number 134 ------->Registration Status : Failed.
- Customer with phone number 135 ------->Registration Status : Failed.
- Customer with phone number 136 ------->Registration Status : Failed.
- Customer with phone number 137 ------->Registration Status : Failed.
- Customer with phone number 138 ------->Registration Status : Failed.
- Customer with phone number 139 ------->Registration Status : Failed.
- Customer with phone number 140 ------->Registration Status : Failed.
- Customer with phone number 141 ------->Registration Status : Failed.
- Customer with phone number 142 ------->Registration Status : Failed.
- Customer with phone number 143 ------->Registration Status : Failed.
- Customer with phone number 144 ------->Registration Status : Failed.
- Customer with phone number 145 ------->Registration Status : Failed.
- Customer with phone number 146 ------->Registration Status : Failed.
- Customer with phone number 147 ------->Registration Status : Failed.
- Customer with phone number 148 ------->Registration Status : Failed.
- Customer with phone number 149 ------->Registration Status : Failed.
- Customer with phone number 150 ------->Registration Status : Failed.
- Customer with phone number 151 ------->Registration Status : Failed.
- Customer with phone number 152 ------->Registration Status : Failed.
- Customer with phone number 153 ------->Registration Status : Failed.
- Customer with phone number 154 ------->Registration Status : Failed.
- Customer with phone number 155 ------->Registration Status : Failed.
- Customer with phone number 156 ------->Registration Status : Failed.
- Customer with phone number 157 ------->Registration Status : Failed.
- Customer with phone number 158 ------->Registration Status : Failed.
- Customer with phone number 159 ------->Registration Status : Failed.
- Customer with phone number 160 ------->Registration Status : Failed.
- Customer with phone number 161 ------->Registration Status : Failed.
- Customer with phone number 162 ------->Registration Status : Failed.
- Customer with phone number 163 ------->Registration Status : Failed.
- Customer with phone number 164 ------->Registration Status : Failed.
- Customer with phone number 165 ------->Registration Status : Failed.
- Customer with phone number 166 ------->Registration Status : Failed.
- Customer with phone number 167 ------->Registration Status : Failed.
- Customer with phone number 168 ------->Registration Status : Failed.
- Customer with phone number 169 ------->Registration Status : Failed.
- Customer with phone number 170 ------->Registration Status : Failed.
- Customer with phone number 171 ------->Registration Status : Failed.
- Customer with phone number 172 ------->Registration Status : Failed.
- Customer with phone number 173 ------->Registration Status : Failed.
- Customer with phone number 174 ------->Registration Status : Failed.
- Customer with phone number 175 ------->Registration Status : Failed.
- Customer with phone number 176 ------->Registration Status : Failed.
- Customer with phone number 177 ------->Registration Status : Failed.
- Customer with phone number 178 ------->Registration Status : Failed.
- Customer with phone number 179 ------->Registration Status : Failed.
- Customer with phone number 180 ------->Registration Status : Failed.
- Customer with phone number 181 ------->Registration Status : Failed.
- Customer with phone number 182 ------->Registration Status : Failed.
- Customer with phone number 183 ------->Registration Status : Failed.
- Customer with phone number 184 ------->Registration Status : Failed.
- Customer with phone number 185 ------->Registration Status : Failed.
- Customer with phone number 186 ------->Registration Status : Failed.
- Customer with phone number 187 ------->Registration Status : Failed.
- Customer with phone number 188 ------->Registration Status : Failed.
- Customer with phone number 189 ------->Registration Status : Failed.
- Customer with phone number 190 ------->Registration Status : Failed.
- Customer with phone number 191 ------->Registration Status : Failed.
- Customer with phone number 192 ------->Registration Status : Failed.
- Customer with phone number 193 ------->Registration Status : Failed.
- Customer with phone number 194 ------->Registration Status : Failed.
- Customer with phone number 195 ------->Registration Status : Failed.
- Customer with phone number 196 ------->Registration Status : Failed.
- Customer with phone number 197 ------->Registration Status : Failed.
- Customer with phone number 198 ------->Registration Status : Failed.
- Customer with phone number 199 ------->Registration Status : Failed.
- Customer with phone number 200 ------->Registration Status : Failed.
- Customer with phone number 201 ------->Registration Status : Failed.
- Customer with phone number 202 ------->Registration Status : Failed.
- Customer with phone number 203 ------->Registration Status : Failed.
- Customer with phone number 204 ------->Registration Status : Failed.
- Customer with phone number 205 ------->Registration Status : Failed.
- Customer with phone number 206 ------->Registration Status : Failed.
- Customer with phone number 207 ------->Registration Status : Failed.
- Customer with phone number 208 ------->Registration Status : Failed.
- Customer with phone number 209 ------->Registration Status : Failed.
- Customer with phone number 210 ------->Registration Status : Failed.
- Customer with phone number 211 ------->Registration Status : Failed.
- Customer with phone number 212 ------->Registration Status : Failed.
- Customer with phone number 213 ------->Registration Status : Failed.
- Customer with phone number 214 ------->Registration Status : Failed.
- Customer with phone number 215 ------->Registration Status : Failed.
- Customer with phone number 216 ------->Registration Status : Failed.
- Customer with phone number 217 ------->Registration Status : Failed.
- Customer with phone number 218 ------->Registration Status : Failed.
- Customer with phone number 219 ------->Registration Status : Failed.
- Customer with phone number 220 ------->Registration Status : Failed.
- Customer with phone number 221 ------->Registration Status : Failed.
- Customer with phone number 222 ------->Registration Status : Failed.
- Customer with phone number 223 ------->Registration Status : Failed.
- Customer with phone number 224 ------->Registration Status : Failed.
- Customer with phone number 225 ------->Registration Status : Failed.
- Customer with phone number 226 ------->Registration Status : Failed.
- Customer with phone number 227 ------->Registration Status : Failed.
- Customer with phone number 228 ------->Registration Status : Failed.
- Customer with phone number 229 ------->Registration Status : Failed.
- Customer with phone number 230 ------->Registration Status : Failed.
- Customer with phone number 231 ------->Registration Status : Failed.
- Customer with phone number 232 ------->Registration Status : Failed.
- Customer with phone number 233 ------->Registration Status : Failed.
- Customer with phone number 234 ------->Registration Status : Failed.
- Customer with phone number 235 ------->Registration Status : Failed.
- Customer with phone number 236 ------->Registration Status : Failed.
- Customer with phone number 237 ------->Registration Status : Failed.
- Customer with phone number 238 ------->Registration Status : Failed.
- Customer with phone number 239 ------->Registration Status : Failed.
- Customer with phone number 240 ------->Registration Status : Failed.
- Customer with phone number 241 ------->Registration Status : Failed.
- Customer with phone number 242 ------->Registration Status : Failed.
- Customer with phone number 243 ------->Registration Status : Failed.
- Customer with phone number 244 ------->Registration Status : Failed.
- Customer with phone number 245 ------->Registration Status : Failed.
- Customer with phone number 246 ------->Registration Status : Failed.
- Customer with phone number 247 ------->Registration Status : Failed.
- Customer with phone number 248 ------->Registration Status : Failed.
- Customer with phone number 249 ------->Registration Status : Failed.
- Customer with phone number 250 ------->Registration Status : Failed.
- Customer with phone number 251 ------->Registration Status : Failed.
- Customer with phone number 252 ------->Registration Status : Failed.
- Customer with phone number 253 ------->Registration Status : Failed.
- Customer with phone number 254 ------->Registration Status : Failed.
- Customer with phone number 255 ------->Registration Status : Failed.
- Customer with phone number 256 ------->Registration Status : Failed.
- Customer with phone number 257 ------->Registration Status : Failed.
- Customer with phone number 258 ------->Registration Status : Failed.
- Customer with phone number 259 ------->Registration Status : Failed.
- Customer with phone number 260 ------->Registration Status : Failed.
- Customer with phone number 261 ------->Registration Status : Failed.
- Customer with phone number 262 ------->Registration Status : Failed.
- Customer with phone number 263 ------->Registration Status : Failed.
- Customer with phone number 264 ------->Registration Status : Failed.
- Customer with phone number 265 ------->Registration Status : Failed.
- Customer with phone number 266 ------->Registration Status : Failed.
- Customer with phone number 267 ------->Registration Status : Failed.
- Customer with phone number 268 ------->Registration Status : Failed.
- Customer with phone number 269 ------->Registration Status : Failed.
- Customer with phone number 270 ------->Registration Status : Failed.
- Customer with phone number 271 ------->Registration Status : Failed.
- Customer with phone number 272 ------->Registration Status : Failed.
- Customer with phone number 273 ------->Registration Status : Failed.
- Customer with phone number 274 ------->Registration Status : Failed.
- Customer with phone number 275 ------->Registration Status : Failed.
- Customer with phone number 276 ------->Registration Status : Failed.
- Customer with phone number 277 ------->Registration Status : Failed.
- Customer with phone number 278 ------->Registration Status : Failed.
- Customer with phone number 279 ------->Registration Status : Failed.
- Customer with phone number 280 ------->Registration Status : Failed.
- Customer with phone number 281 ------->Registration Status : Failed.
- Customer with phone number 282 ------->Registration Status : Failed.
- Customer with phone number 283 ------->Registration Status : Failed.
- Customer with phone number 284 ------->Registration Status : Failed.
- Customer with phone number 285 ------->Registration Status : Failed.
- Customer with phone number 286 ------->Registration Status : Failed.
- Customer with phone number 287 ------->Registration Status : Failed.
- Customer with phone number 288 ------->Registration Status : Failed.
- Customer with phone number 289 ------->Registration Status : Failed.
- Customer with phone number 290 ------->Registration Status : Failed.
- Customer with phone number 291 ------->Registration Status : Failed.
- Customer with phone number 292 ------->Registration Status : Failed.
- Customer with phone number 293 ------->Registration Status : Failed.
- Customer with phone number 294 ------->Registration Status : Failed.
- Customer with phone number 295 ------->Registration Status : Failed.
- Customer with phone number 296 ------->Registration Status : Failed.
- Customer with phone number 297 ------->Registration Status : Failed.
- Customer with phone number 298 ------->Registration Status : Failed.
- Customer with phone number 299 ------->Registration Status : Failed.
- Customer with phone number 300 ------->Registration Status : Failed.
- Customer with phone number 301 ------->Registration Status : Failed.
- Customer with phone number 302 ------->Registration Status : Failed.
- Customer with phone number 303 ------->Registration Status : Failed.
- Customer with phone number 304 ------->Registration Status : Failed.
- Customer with phone number 305 ------->Registration Status : Failed.
- Customer with phone number 306 ------->Registration Status : Failed.
- Customer with phone number 307 ------->Registration Status : Failed.
- Customer with phone number 308 ------->Registration Status : Failed.
- Customer with phone number 309 ------->Registration Status : Failed.
- Customer with phone number 310 ------->Registration Status : Failed.
- Customer with phone number 311 ------->Registration Status : Failed.
- Customer with phone number 312 ------->Registration Status : Failed.
- Customer with phone number 313 ------->Registration Status : Failed.
- Customer with phone number 314 ------->Registration Status : Failed.
- Customer with phone number 315 ------->Registration Status : Failed.
- Customer with phone number 316 ------->Registration Status : Failed.
- Customer with phone number 317 ------->Registration Status : Failed.
- Customer with phone number 318 ------->Registration Status : Failed.
- Customer with phone number 319 ------->Registration Status : Failed.
- Customer with phone number 320 ------->Registration Status : Failed.
- Customer with phone number 321 ------->Registration Status : Failed.
- Customer with phone number 322 ------->Registration Status : Failed.
- Customer with phone number 323 ------->Registration Status : Failed.
- Customer with phone number 324 ------->Registration Status : Failed.
- Customer with phone number 325 ------->Registration Status : Failed.
- Customer with phone number 326 ------->Registration Status : Failed.
- Customer with phone number 327 ------->Registration Status : Failed.
- Customer with phone number 328 ------->Registration Status : Failed.
- Customer with phone number 329 ------->Registration Status : Failed.
- Customer with phone number 330 ------->Registration Status : Failed.
- Customer with phone number 331 ------->Registration Status : Failed.
- Customer with phone number 332 ------->Registration Status : Failed.
- Customer with phone number 333 ------->Registration Status : Failed.
- Customer with phone number 334 ------->Registration Status : Failed.
- Customer with phone number 335 ------->Registration Status : Failed.
- Customer with phone number 336 ------->Registration Status : Failed.
- Customer with phone number 337 ------->Registration Status : Failed.
- Customer with phone number 338 ------->Registration Status : Failed.
- Customer with phone number 339 ------->Registration Status : Failed.
- Customer with phone number 340 ------->Registration Status : Failed.
- Customer with phone number 341 ------->Registration Status : Failed.
- Customer with phone number 342 ------->Registration Status : Failed.
- Customer with phone number 343 ------->Registration Status : Failed.
- Customer with phone number 344 ------->Registration Status : Failed.
- Customer with phone number 345 ------->Registration Status : Failed.
- Customer with phone number 346 ------->Registration Status : Failed.
- Customer with phone number 347 ------->Registration Status : Failed.
- Customer with phone number 348 ------->Registration Status : Failed.
- Customer with phone number 349 ------->Registration Status : Failed.
- Customer with phone number 350 ------->Registration Status : Failed.
- Customer with phone number 351 ------->Registration Status : Failed.
- Customer with phone number 352 ------->Registration Status : Failed.
- Customer with phone number 353 ------->Registration Status : Failed.
- Customer with phone number 354 ------->Registration Status : Failed.
- Customer with phone number 355 ------->Registration Status : Failed.
- Customer with phone number 356 ------->Registration Status : Failed.
- Customer with phone number 357 ------->Registration Status : Failed.
- Customer with phone number 358 ------->Registration Status : Failed.
- Customer with phone number 359 ------->Registration Status : Failed.
- Customer with phone number 360 ------->Registration Status : Failed.
- Customer with phone number 361 ------->Registration Status : Failed.
- Customer with phone number 362 ------->Registration Status : Failed.
- Customer with phone number 363 ------->Registration Status : Failed.
- Customer with phone number 364 ------->Registration Status : Failed.
- Customer with phone number 365 ------->Registration Status : Failed.
- Customer with phone number 366 ------->Registration Status : Failed.
- Customer with phone number 367 ------->Registration Status : Failed.
- Customer with phone number 368 ------->Registration Status : Failed.
- Customer with phone number 369 ------->Registration Status : Failed.
- Customer with phone number 370 ------->Registration Status : Failed.
- Customer with phone number 371 ------->Registration Status : Failed.
- Customer with phone number 372 ------->Registration Status : Failed.
- Customer with phone number 373 ------->Registration Status : Failed.
- Customer with phone number 374 ------->Registration Status : Failed.
- Customer with phone number 375 ------->Registration Status : Failed.
- Customer with phone number 376 ------->Registration Status : Failed.
- Customer with phone number 377 ------->Registration Status : Failed.
- Customer with phone number 378 ------->Registration Status : Failed.
- Customer with phone number 379 ------->Registration Status : Failed.
- Customer with phone number 380 ------->Registration Status : Failed.
- Customer with phone number 381 ------->Registration Status : Failed.
- Customer with phone number 382 ------->Registration Status : Failed.
- Customer with phone number 383 ------->Registration Status : Failed.
- Customer with phone number 384 ------->Registration Status : Failed.
- Customer with phone number 385 ------->Registration Status : Failed.
- Customer with phone number 386 ------->Registration Status : Failed.
- Customer with phone number 387 ------->Registration Status : Failed.
- Customer with phone number 388 ------->Registration Status : Failed.
- Customer with phone number 389 ------->Registration Status : Failed.
- Customer with phone number 390 ------->Registration Status : Failed.
- Customer with phone number 391 ------->Registration Status : Failed.
- Customer with phone number 392 ------->Registration Status : Failed.
- Customer with phone number 393 ------->Registration Status : Failed.
- Customer with phone number 394 ------->Registration Status : Failed.
- Customer with phone number 395 ------->Registration Status : Failed.
- Customer with phone number 396 ------->Registration Status : Failed.
- Customer with phone number 397 ------->Registration Status : Failed.
- Customer with phone number 398 ------->Registration Status : Failed.
- Customer with phone number 399 ------->Registration Status : Failed.
- Customer with phone number 400 ------->Registration Status : Failed.
- Customer with phone number 401 ------->Registration Status : Failed.
- Customer with phone number 402 ------->Registration Status : Failed.
- Customer with phone number 403 ------->Registration Status : Failed.
- Customer with phone number 404 ------->Registration Status : Failed.
- Customer with phone number 405 ------->Registration Status : Failed.
- Customer with phone number 406 ------->Registration Status : Failed.
- Customer with phone number 407 ------->Registration Status : Failed.
- Customer with phone number 408 ------->Registration Status : Failed.
- Customer with phone number 409 ------->Registration Status : Failed.
- Customer with phone number 410 ------->Registration Status : Failed.
- Customer with phone number 411 ------->Registration Status : Failed.
- Customer with phone number 412 ------->Registration Status : Failed.
- Customer with phone number 413 ------->Registration Status : Failed.
- Customer with phone number 414 ------->Registration Status : Failed.
- Customer with phone number 415 ------->Registration Status : Failed.
- Customer with phone number 416 ------->Registration Status : Failed.
- Customer with phone number 417 ------->Registration Status : Failed.
- Customer with phone number 418 ------->Registration Status : Failed.
- Customer with phone number 419 ------->Registration Status : Failed.
- Customer with phone number 420 ------->Registration Status : Failed.
- Customer with phone number 421 ------->Registration Status : Failed.
- Customer with phone number 422 ------->Registration Status : Failed.
- Customer with phone number 423 ------->Registration Status : Failed.
- Customer with phone number 424 ------->Registration Status : Failed.
- Customer with phone number 425 ------->Registration Status : Failed.
- Customer with phone number 426 ------->Registration Status : Failed.
- Customer with phone number 427 ------->Registration Status : Failed.
- Customer with phone number 428 ------->Registration Status : Failed.
- Customer with phone number 429 ------->Registration Status : Failed.
- Customer with phone number 430 ------->Registration Status : Failed.
- Customer with phone number 431 ------->Registration Status : Failed.
- Customer with phone number 432 ------->Registration Status : Failed.
- Customer with phone number 433 ------->Registration Status : Failed.
- Customer with phone number 434 ------->Registration Status : Failed.
- Customer with phone number 435 ------->Registration Status : Failed.
- Customer with phone number 436 ------->Registration Status : Failed.
- Customer with phone number 437 ------->Registration Status : Failed.
- Customer with phone number 438 ------->Registration Status : Failed.
- Customer with phone number 439 ------->Registration Status : Failed.
- Customer with phone number 440 ------->Registration Status : Failed.
- Customer with phone number 441 ------->Registration Status : Failed.
- Customer with phone number 442 ------->Registration Status : Failed.
- Customer with phone number 443 ------->Registration Status : Failed.
- Customer with phone number 444 ------->Registration Status : Failed.
- Customer with phone number 445 ------->Registration Status : Failed.
- Customer with phone number 446 ------->Registration Status : Failed.
- Customer with phone number 447 ------->Registration Status : Failed.
- Customer with phone number 448 ------->Registration Status : Failed.
- Customer with phone number 449 ------->Registration Status : Failed.
- Customer with phone number 450 ------->Registration Status : Failed.
- Customer with phone number 451 ------->Registration Status : Failed.
- Customer with phone number 452 ------->Registration Status : Failed.
- Customer with phone number 453 ------->Registration Status : Failed.
- Customer with phone number 454 ------->Registration Status : Failed.
- Customer with phone number 455 ------->Registration Status : Failed.
- Customer with phone number 456 ------->Registration Status : Failed.
- Customer with phone number 457 ------->Registration Status : Failed.
- Customer with phone number 458 ------->Registration Status : Failed.
- Customer with phone number 459 ------->Registration Status : Failed.
- Customer with phone number 460 ------->Registration Status : Failed.
- Customer with phone number 461 ------->Registration Status : Failed.
- Customer with phone number 462 ------->Registration Status : Failed.
- Customer with phone number 463 ------->Registration Status : Failed.
- Customer with phone number 464 ------->Registration Status : Failed.
- Customer with phone number 465 ------->Registration Status : Failed.
- Customer with phone number 466 ------->Registration Status : Failed.
- Customer with phone number 467 ------->Registration Status : Failed.
- Customer with phone number 468 ------->Registration Status : Failed.
- Customer with phone number 469 ------->Registration Status : Failed.
- Customer with phone number 470 ------->Registration Status : Failed.
- Customer with phone number 471 ------->Registration Status : Failed.
- Customer with phone number 472 ------->Registration Status : Failed.
- Customer with phone number 473 ------->Registration Status : Failed.
- Customer with phone number 474 ------->Registration Status : Failed.
- Customer with phone number 475 ------->Registration Status : Failed.
- Customer with phone number 476 ------->Registration Status : Failed.
- Customer with phone number 477 ------->Registration Status : Failed.
- Customer with phone number 478 ------->Registration Status : Failed.
- Customer with phone number 479 ------->Registration Status : Failed.
- Customer with phone number 480 ------->Registration Status : Failed.
- Customer with phone number 481 ------->Registration Status : Failed.
- Customer with phone number 482 ------->Registration Status : Failed.
- Customer with phone number 483 ------->Registration Status : Failed.
- Customer with phone number 484 ------->Registration Status : Failed.
- Customer with phone number 485 ------->Registration Status : Failed.
- Customer with phone number 486 ------->Registration Status : Failed.
- Customer with phone number 487 ------->Registration Status : Failed.
- Customer with phone number 488 ------->Registration Status : Failed.
- Customer with phone number 489 ------->Registration Status : Failed.
- Customer with phone number 490 ------->Registration Status : Failed.
- Customer with phone number 491 ------->Registration Status : Failed.
- Customer with phone number 492 ------->Registration Status : Failed.
- Customer with phone number 493 ------->Registration Status : Failed.
- Customer with phone number 494 ------->Registration Status : Failed.
- Customer with phone number 495 ------->Registration Status : Failed.
- Customer with phone number 496 ------->Registration Status : Failed.
- Customer with phone number 497 ------->Registration Status : Failed.
- Customer with phone number 498 ------->Registration Status : Failed.
- Customer with phone number 499 ------->Registration Status : Failed.
- Customer with phone number 500 ------->Registration Status : Failed.
- Customer with phone number 501 ------->Registration Status : Failed.
- Customer with phone number 502 ------->Registration Status : Failed.
- Customer with phone number 503 ------->Registration Status : Failed.
- Customer with phone number 504 ------->Registration Status : Failed.
- Customer with phone number 505 ------->Registration Status : Failed.
- Customer with phone number 506 ------->Registration Status : Failed.
- Customer with phone number 507 ------->Registration Status : Failed.
- Customer with phone number 508 ------->Registration Status : Failed.
- Customer with phone number 509 ------->Registration Status : Failed.
- Customer with phone number 510 ------->Registration Status : Failed.
- Customer with phone number 511 ------->Registration Status : Failed.
- Customer with phone number 512 ------->Registration Status : Failed.
- Customer with phone number 513 ------->Registration Status : Failed.
- Customer with phone number 514 ------->Registration Status : Failed.
- Customer with phone number 515 ------->Registration Status : Failed.
- Customer with phone number 516 ------->Registration Status : Failed.
- Customer with phone number 517 ------->Registration Status : Failed.
- Customer with phone number 518 ------->Registration Status : Failed.
- Customer with phone number 519 ------->Registration Status : Failed.
- Customer with phone number 520 ------->Registration Status : Failed.
- Customer with phone number 521 ------->Registration Status : Failed.
- Customer with phone number 522 ------->Registration Status : Failed.
- Customer with phone number 523 ------->Registration Status : Failed.
- Customer with phone number 524 ------->Registration Status : Failed.
- Customer with phone number 525 ------->Registration Status : Failed.
- Customer with phone number 526 ------->Registration Status : Failed.
- Customer with phone number 527 ------->Registration Status : Failed.
- Customer with phone number 528 ------->Registration Status : Failed.
- Customer with phone number 529 ------->Registration Status : Failed.
- Customer with phone number 530 ------->Registration Status : Failed.
- Customer with phone number 531 ------->Registration Status : Failed.
- Customer with phone number 532 ------->Registration Status : Failed.
- Customer with phone number 533 ------->Registration Status : Failed.
- Customer with phone number 534 ------->Registration Status : Failed.
- Customer with phone number 535 ------->Registration Status : Failed.
- Customer with phone number 536 ------->Registration Status : Failed.
- Customer with phone number 537 ------->Registration Status : Failed.
- Customer with phone number 538 ------->Registration Status : Failed.
- Customer with phone number 539 ------->Registration Status : Failed.
- Customer with phone number 540 ------->Registration Status : Failed.
- Customer with phone number 541 ------->Registration Status : Failed.
- Customer with phone number 542 ------->Registration Status : Failed.
- Customer with phone number 543 ------->Registration Status : Failed.
- Customer with phone number 544 ------->Registration Status : Failed.
- Customer with phone number 545 ------->Registration Status : Failed.
- Customer with phone number 546 ------->Registration Status : Failed.
